"Notes"	"State of Residence"	"State of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	Births
	"South Dakota"	"46"	"Black or African American"	"2054-5"	2840
	"South Dakota"	"46"	"White"	"2106-3"	60684
"Total"	"South Dakota"	"46"			63524
	"Tennessee"	"47"	"Black or African American"	"2054-5"	110495
	"Tennessee"	"47"	"White"	"2106-3"	429887
"Total"	"Tennessee"	"47"			540382
	"Texas"	"48"	"Black or African American"	"2054-5"	353941
	"Texas"	"48"	"White"	"2106-3"	2109293
"Total"	"Texas"	"48"			2463234
	"Utah"	"49"	"Black or African American"	"2054-5"	5381
	"Utah"	"49"	"White"	"2106-3"	292271
"Total"	"Utah"	"49"			297652
	"Vermont"	"50"	"Black or African American"	"2054-5"	962
	"Vermont"	"50"	"White"	"2106-3"	34091
"Total"	"Vermont"	"50"			35053
	"Virginia"	"51"	"Black or African American"	"2054-5"	144941
	"Virginia"	"51"	"White"	"2106-3"	451628
"Total"	"Virginia"	"51"			596569
	"Washington"	"53"	"Black or African American"	"2054-5"	34046
	"Washington"	"53"	"White"	"2106-3"	430952
"Total"	"Washington"	"53"			464998
	"West Virginia"	"54"	"Black or African American"	"2054-5"	4368
	"West Virginia"	"54"	"White"	"2106-3"	112695
"Total"	"West Virginia"	"54"			117063
	"Wisconsin"	"55"	"Black or African American"	"2054-5"	44728
	"Wisconsin"	"55"	"White"	"2106-3"	348287
"Total"	"Wisconsin"	"55"			393015
	"Wyoming"	"56"	"Black or African American"	"2054-5"	477
	"Wyoming"	"56"	"White"	"2106-3"	39797
"Total"	"Wyoming"	"56"			40274
"Total"					22970400
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Mother's Single Race 6: Black or African American; White"
"Year: 2018; 2019; 2020; 2021; 2022; 2023; 2024"
"Group By: State of Residence; Mother's Single Race 6"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Aug 30, 2026 8:30:24 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Aug 30, 2026 8:30:24 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
